naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
STREŽBA, MARIBORSKO POHORJE,9.36  ,8.05  ,False,2,"MED POČITNICAMI, NAPREJ PO DOGOVORU",432382,PO DOGOVORU
DELO V SKLADIŠČU, DOMŽALE,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432381,DOPOLDAN
ADMINISTRATIVNA DELA, LJUBLJANA ,/,/,True,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432380,IZMENSKO
ČIŠČENJE, NOVO MESTO IN KRŠKO,9.30  ,8.00  ,False,10,DO 18. 8. 2024,432378,DOPOLDAN
ADMINISTRATIVNA DELA, LJUBLJANA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432377,PO DOGOVORU
DELO NA STOJNICI, LJUBLJANA ,9.88  ,8.50  ,False,1,PO DOGOVORU,432376,PO DOGOVORU
ADMINISTRATIVNA DELA, ZGORNJI BRNIK,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432374,DOPOLDAN
VZDRŽEVANJE, LJUBLJANA,10.00  ,8.61  ,False,1,DO KONCA OKTOBRA 2024,432323,DOPOLDAN
POMOČ V STREŽBI, BREZOVICA PRI LJUBLJANI,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432434,PO DOGOVORU
POMOČ PRI PRODAJI, KRIŽE,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432270,IZMENSKO
UREJANJE OKOLICE, KOPER,9.30  ,8.00  ,False,1,POČITNIŠKO DELO,432372,DOPOLDAN
FOTOGRAFIRANJE, SLOVENSKA BISTRICA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432321,POPOLDAN
VZDRŽEVANJE, SLADKI VRH,9.00  ,7.74  ,False,1,PO DOGOVORU,432433,PO DOGOVORU
BLAGAJNIK, NAKLO ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432269,IZMENSKO
DELO V AVTOPRALNICI, LJUBLJANA ČRNUČE,8.72  ,7.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432371,DOPOLDAN
DELO V SKLADIŠČU, VELIKI GABER,8.00  ,6.88  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432369,DOPOLDAN
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432320,IZMENSKO
PROMOCIJA, POSTOJNA,7.55  ,6.50  ,False,2,AVGUST,432431,POPOLDAN
FIZIČNA DELA, MARIBOR,10.00  ,8.61  ,False,3,CCA 14 DNI,432219,DOPOLDAN
POMOČ PRI PRODAJI, NAKLO,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432268,IZMENSKO
SOBAR/ICA, IZOLA,8.13  ,7.00  ,False,3,POČITNIŠKO DELO,432368,IZMENSKO
POMOČ V TRGOVINI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432319,PO DOGOVORU
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432318,PO DOGOVORU
PROJEKTNO DELO, LJUBLJANA,8.30  ,7.14  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432430,DOPOLDAN
BLAGAJNIK, LJUBLJANA BEŽIGRAD,8.28  ,7.12  ,False,2,"POČITNIŠKO DELO, NAPREJ PO DOGOVORU",432218,IZMENSKO
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432267,IZMENSKO
POMOČ V STREŽBI, KOPER,8.13  ,7.00  ,False,1,POČITNIŠKO DELO,432367,DOPOLDAN
POMOČ V TRGOVINI, KRANJ ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432317,IZMENSKO
DELO V PROIZVODNJI, SLOVENSKA BISTRICA,7.21  ,6.20  ,False,1,JULIJ,432428,DOPOLDAN
POMOČ V TRGOVINI, ŽABNICA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432217,IZMENSKO
PRODAJA, NOVO MESTO,7.50  ,6.45  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432266,IZMENSKO
STREŽBA, VRHNIKA,9.30  ,8.00  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),432366,DOPOLDAN
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432316,IZMENSKO
ADMINISTRATIVNA DELA, BRNIK,7.50  ,6.45  ,False,1,PO DOGOVORU,432426,DOPOLDAN
BLAGAJNIK, ŽABNICA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432216,IZMENSKO
POMOČ PRI PRODAJI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432265,IZMENSKO
FIZIČNA DELA, MENGEŠ,8.50  ,7.31  ,False,2,POČITNIŠKO DELO,432365,DOPOLDAN
BLAGAJNIK, KRANJ ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432315,IZMENSKO
KONTROLA KAKOVOSTI, SLADKI VRH,7.50  ,6.45  ,False,1,PO DOGOVORU,432425,IZMENSKO
DELO V KUHINJI, PTUJ - SPUHLJA,10.46  ,9.00  ,False,2,POČITNIŠKO DELO ALI DLJE ( OBČASNO),432215,IZMENSKO
VARSTVO," ANKARAN, DEBELI RTIČ",/,/,True,3,MED POLETJEM,432264,PO DOGOVORU
POMOČ PRI PRODAJI, GOLNIK,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432263,IZMENSKO
ZAHTEVNA ADMINISTRATIVNA DELA, LJUBLJANA,9.00  ,7.74  ,False,1,"DLJE ČASA (ZAČ. IN OBČ. DELO), MOŽNOST ZAPOSLITVE",432364,DOPOLDAN
RAZVOZ, LJUBLJANA,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432363,DOPOLDAN
STROKOVNO DELO, LJUBLJANA,8.28  ,7.12  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),432314,DOPOLDAN
VRTNARSKA DELA, BLED,9.74  ,8.38  ,False,2,PO DOGOVORU,432424,DOPOLDAN
POMOČ V STREŽBI, GORNJA RADGONA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432423,POPOLDAN
ADMINISTRATIVNA DELA, LJUBLJANA - VIČ,7.50  ,6.45  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432214,IZMENSKO
POMOČ PRI PRODAJI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432262,IZMENSKO
DELO NA TERENU, LJUBLJANA ,9.30  ,8.00  ,False,1,POČITNIŠKO DELO,432361,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432313,IZMENSKO
TEHNIČNA POMOČ, LJUBLJANA,8.60  ,7.40  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432422,DOPOLDAN
BLAGAJNIK, MEDVODE,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432213,IZMENSKO
POMOČ PRI PRODAJI, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432261,IZMENSKO
ELEKTROTEHNIČNA DELA, LIMBUŠ,8.48  ,7.30  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432360,DOPOLDAN
POMOČ PRI PRODAJI, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432312,IZMENSKO
LAŽJA FIZIČNA DELA, VIŠNJA GORA,8.13  ,7.00  ,False,1,PO DOGOVORU,432421,PO DOGOVORU
POMOČ PRI PRODAJI, MEDVODE,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432212,IZMENSKO
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432260,IZMENSKO
ADMINISTRATIVNA DELA, LJUBLJANA ŠIŠKA,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432359,DOPOLDAN
PRODAJA, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432311,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432420,IZMENSKO
POMOČ V TRGOVINI, ŠKOFJA LOKA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432210,IZMENSKO
POMOČ PRI PRODAJI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432259,IZMENSKO
ADMINISTRATIVNA DELA, LIMBUŠ,8.48  ,7.30  ,False,1,POČITNIŠKO DELO,432358,DOPOLDAN
POMOČ V TRGOVINI, LJUBLJANA VIŽMARJE,8.00  ,6.88  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),432310,IZMENSKO
BLAGAJNIK, LJUBLJANA CENTER,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432419,IZMENSKO
BLAGAJNIK, ŠKOFJA LOKA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432209,IZMENSKO
POMOČ PRI PRODAJI, TRŽIČ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432258,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA,7.90  ,6.80  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),432357,PO DOGOVORU
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432309,IZMENSKO
BLAGAJNIK, LJUBLJANA ZALOG,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432418,IZMENSKO
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432416,IZMENSKO
STREŽBA, BRESNICA,7.70  ,6.63  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432208,PO DOGOVORU
STREŽBA, IZOLA,9.30  ,8.00  ,False,3,PO DOGOVORU,432257,IZMENSKO
RAZVOZ, CELJE ,8.13  ,7.00  ,False,1,PO DOGOVORU,432356,PO DOGOVORU
POMOČ V TRGOVINI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432308,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432415,IZMENSKO
