naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
ADMINISTRATIVNA DELA, LJUBLJANA,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430887,DOPOLDAN
POMOČ V STREŽBI, LJUBLJANA CENTER,9.88  ,8.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430886,IZMENSKO
POMOČ V KUHINJI, PTUJ,/,/,True,5,POČITNIŠKO DELO,430880,PO DOGOVORU
DELO V AVTOPRALNICI, KOPER,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430879,IZMENSKO
POMOČ V STREŽBI, BLED,/,/,True,1,POČITNIŠKO DELO,430876,PO DOGOVORU
POSPEŠEVANJE PRODAJE, PO SLOVENIJI,/,/,True,2,PO DOGOVORU,430874,PO DOGOVORU
STREŽBA," CELJE, ŽALEC",9.30  ,8.00  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),430870,IZMENSKO
KRUPJE/ KRUPJEJKA, BLED,10.46  ,9.00  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),430869,POPOLDAN
STREŽBA, KOPER,9.32  ,8.02  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430868,IZMENSKO
POMOČ PRI PRODAJI, MARIBOR,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430866,DOPOLDAN
DELO V ZDRAVSTVU, IZOLA,/,/,True,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430864,IZMENSKO
DELO NA TERENU, ZIDANI MOST ,9.50  ,8.17  ,False,3,POČITNIŠKO DELO,430863,IZMENSKO
ADMINISTRATIVNA DELA, KOPER,8.13  ,7.00  ,False,1,POČITNIŠKO DELO,430860,DOPOLDAN
STREŽBA, MARIBOR,8.60  ,7.40  ,False,5,DLJE ČASA (OBČASNO),430857,IZMENSKO
POMOČ V KUHINJI, MARIBOR EUROPARK,8.60  ,7.40  ,False,5,DLJE ČASA (OBČASNO),430856,IZMENSKO
POMOČ PRI PRODAJI, JESENICE,8.05  ,6.93  ,False,1,POČITNIŠKO DELO,430855,IZMENSKO
POMOČ PRI PRODAJI, LESCE,8.05  ,6.93  ,False,1,POČITNIŠKO DELO,430854,IZMENSKO
VZDRŽEVANJE, LJUBLJANA IN OSTALI KRAJI PO SLOVENIJI,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430852,PO DOGOVORU
DELO V SKLADIŠČU, KRANJ,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430850,DOPOLDAN
RAZVOZ, OPLOTNICA,8.00  ,6.88  ,False,3,PO DOGOVORU,430847,DOPOLDAN
SOBAR/ICA, LJUBLJANA - TRNOVO,9.30  ,8.00  ,False,2,PO DOGOVORU,430841,DOPOLDAN
POMOČ V KUHINJI, SLOVENJ GRADEC,7.21  ,6.20  ,False,2,POČITNIŠKO DELO,430838,IZMENSKO
STREŽBA, LJUBLJANA,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430836,IZMENSKO
POMOČ V STREŽBI, LJUBLJANA BEŽIGRAD,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430835,IZMENSKO
ANIMATOR/KA, PACUG PRI PORTOROŽU,/,/,True,1,"OD 4. 7. DO 30. 8. 2024, 10 ALI 7 DNEVNI TERMINI",430832,PO DOGOVORU
INVENTURA, RADOVLJICA,7.21  ,6.20  ,False,15,23. 7. 2024,430829,DOPOLDAN
POMOČ PRI PRODAJI, SLOVENJ GRADEC,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430828,PO DOGOVORU
ADMINISTRATIVNA DELA, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430825,DOPOLDAN
ADMINISTRATIVNA DELA, ŠKOFJA LOKA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430824,DOPOLDAN
LAŽJA FIZIČNA DELA, KRANJSKA GORA,9.00  ,7.74  ,False,1,POČITNIŠKO DELO,430822,PO DOGOVORU
ČIŠČENJE, LJUBLJANA,10.00  ,8.61  ,False,5,"POČITNIŠKO DELO, MOŽNOST PODALJŠANJA DELA",430821,POPOLDAN
SOBAR/ICA, KRANJSKA GORA,9.00  ,7.74  ,False,1,POČITNIŠKO DELO,430820,PO DOGOVORU
ČIŠČENJE, RUŠE,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430816,PO DOGOVORU
PRODAJA, LJUBLJANA BTC,7.69  ,6.62  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430813,IZMENSKO
STREŽBA, LJUBLJANA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430812,POPOLDAN
BLAGAJNIK, LJUBLJANA RUDNIK,10.00  ,8.61  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430810,IZMENSKO
NEGOVANJE, PRAGERSKO,9.30  ,8.00  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430809,POPOLDAN
STREŽBA HRANE IN PIJAČE, CELJE,/,/,True,4,PO DOGOVORU,430808,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA CITYPARK,8.00  ,6.88  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430807,IZMENSKO
POMOČ PRI PRODAJI, MARIBOR ,7.70  ,6.63  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430806,IZMENSKO
PLAKATIRANJE, NOVA GORICA,/,/,True,4,DLJE ČASA (ZAČ. IN OBČ. DELO),430804,PO DOGOVORU
DELO S STRANKAMI, MARIBOR - LENT,7.21  ,6.20  ,False,3,OD 17. 6. 2024 DO 1. 7. 2024,430801,POPOLDAN
ADMINISTRATIVNA DELA, LOGATEC,/,/,True,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430800,DOPOLDAN
STREŽBA HRANE IN PIJAČE, LJUBLJANA,9.82  ,8.45  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430799,POPOLDAN
STREŽBA, LJUBLJANA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430798,PO DOGOVORU
NEGOVANJE, MENGEŠ IN TRZIN,10.06  ,8.66  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430794,PO DOGOVORU
ZDRAVSTVENA NEGA, IZOLA,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430790,IZMENSKO
DELO V DELAVNICI, VELIKA LOKA-ŠENTLOVRENC,8.37  ,7.20  ,False,2,PO DOGOVORU,430789,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, RATEČE - PLANICA,9.30  ,8.00  ,False,2,POČITNIŠKO DELO,430788,IZMENSKO
POMOČ V KUHINJI, RATEČE - PLANICA,9.30  ,8.00  ,False,2,POČITNIŠKO DELO,430787,IZMENSKO
FIZIČNA DELA, DESTRNIK,10.53  ,9.06  ,False,2,DO 31. 8. 2024,430786,DOPOLDAN
DELO Z OTROKI, DEBELI RTIČ,8.13  ,7.00  ,False,2,PO DOGOVORU,430783,PO DOGOVORU
PROJEKTIRANJE, PTUJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430782,DOPOLDAN
PROJEKTIRANJE, PTUJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430779,DOPOLDAN
DELO S STRANKAMI, MARIBOR,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430778,IZMENSKO
ZDRAVSTVENA NEGA, NOTRANJE GORICE,9.00  ,7.74  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430775,IZMENSKO
DELO V PROIZVODNJI, LOŽNICA PRI ŽALCU,7.50  ,6.45  ,False,3,POČITNIŠKO DELO,430772,IZMENSKO
BLAGAJNIK, IGA VAS,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430769,PO DOGOVORU
BLAGAJNIK, ILIRSKA BISTRICA,8.00  ,6.88  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430768,PO DOGOVORU
STREŽBA, MARIBOR,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430767,PO DOGOVORU
PRODAJA, PTUJ,8.50  ,7.31  ,False,1,POČITNIŠKO DELO,430765,IZMENSKO
POMOČ V TRGOVINI, POLJČANE,8.00  ,6.88  ,False,1,POČITNIŠKO DELO OZ. PO DOGOVORU,430762,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA RUDNIK,8.00  ,6.88  ,False,3,PO DOGOVORU,430761,IZMENSKO
DELO NA STOJNICI, LJUBLJANA,8.72  ,7.50  ,False,1,VSAK PETEK POPOLDAN JULIJ IN AVGUST,430755,POPOLDAN
STREŽBA HRANE IN PIJAČE, LJUBLJANA,9.00  ,7.74  ,False,5,LONG PERIOD (TEMP. AND OCCAS. WORK),430752,DOPOLDAN
POMOČ PRI PRODAJI, MURSKA SOBOTA,7.21  ,6.20  ,False,1,PO DOGOVORU,430750,IZMENSKO
INFORMATIKA, LJUBLJANA ,11.62  ,10.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430747,DOPOLDAN
DELO V KUHINJI, PIRAN,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430746,PO DOGOVORU
MARKETING, LJUBLJANA,10.46  ,9.00  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430744,DOPOLDAN
DIGITALNI MARKETING, LJUBLJANA CENTER IN/ALI OD DOMA,8.13  ,7.00  ,False,1,PO DOGOVORU,430742,PO DOGOVORU
POMOČ V KUHINJI, CELJE,7.21  ,6.20  ,False,1,POČITNIŠKO DELO,430741,MED VIKENDI
ADMINISTRATIVNA DELA, LJUBLJANA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430738,DOPOLDAN
KOZMETIČNE STORITVE, VELENJE,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430735,PO DOGOVORU
STREŽBA, LJUBLJANA,9.30  ,8.00  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430734,IZMENSKO
PRODAJA, ŠKOFJA LOKA,9.06  ,7.80  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430733,DOPOLDAN
POMOČ PRI PRODAJI, MURSKA SOBOTA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430732,POPOLDAN
STREŽBA, PTUJ,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430728,IZMENSKO
DELO V KUHINJI, KOPER,11.62  ,10.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430727,IZMENSKO
DELO V KUHINJI, KOPER,11.62  ,10.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430726,IZMENSKO
POMOČ PRI PRODAJI, KOPER,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430725,POPOLDAN
POMOČ PRI PRODAJI, KOPER,7.55  ,6.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430724,POPOLDAN
PREVAJANJE, LJUBLJANA,35.00  ,30.12  ,False,1,10. IN 11. 7. 2024,430721,DOPOLDAN
DELO NA TERENU, LJUBLJANA ,10.00  ,8.61  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430719,POPOLDAN
KINEZIOLOG/INJA, LJUBLJANA TRNOVO,11.80  ,10.15  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430715,DOPOLDAN
ZDRAVSTVENA NEGA, GORICA PRI SLIVNICI,8.25  ,7.10  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430711,DOPOLDAN
STREŽBA, KOPER,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430710,IZMENSKO
POLNJENJE POLIC, SLOVENJ GRADEC,7.21  ,6.20  ,False,1,20. 7. DO 20. 8. 2024,430709,DOPOLDAN
STREŽBA, SEŽANA,8.37  ,7.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430705,POPOLDAN
STREŽBA, MARIBOR,7.55  ,6.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430704,POPOLDAN
DELO V PROIZVODNJI, DOMŽALE,10.50  ,9.04  ,False,8,POČITNIŠKO DELO,430703,IZMENSKO
ETIKETIRANJE, LJUBLJANA - BEŽIGRAD,7.21  ,6.20  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430701,DOPOLDAN
DELO V PROIZVODNJI, RAKEK,7.60  ,6.54  ,False,8,POČITNIŠKO DELO,430698,IZMENSKO
DELO V PROIZVODNJI, LOGATEC,7.60  ,6.54  ,False,5,POČITNIŠKO DELO,430695,IZMENSKO
ADMINISTRATIVNA DELA, LJUBLJANA,/,/,True,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430692,DOPOLDAN
POMOČ V STREŽBI, MEDVODE,8.13  ,7.00  ,False,3,PO DOGOVORU,430690,IZMENSKO
DELO V KUHINJI, MEDVODE,7.21  ,6.20  ,False,3,PO DOGOVORU,430687,IZMENSKO
PRODAJA, LJUBLJANA - MOSTE,9.47  ,8.15  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430683,PO DOGOVORU
DELO V SKLADIŠČU, MARIBOR,9.00  ,7.74  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430677,POPOLDAN
ZDRAVSTVENA NEGA, KRANJ,8.26  ,7.11  ,False,1,PO DOGOVORU,430676,PO DOGOVORU
STROJNIŠKA DELA, RAKA,9.44  ,8.12  ,False,2,POČITNIŠKO DELO,430671,PO DOGOVORU
BLAGAJNIK, LJUBLJANA,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430670,POPOLDAN
ČIŠČENJE, BLED,8.72  ,7.50  ,False,1,POČITNIŠKO DELO OZ. PO DOGOVORU,430669,DOPOLDAN
STREŽBA HRANE IN PIJAČE, LJUBLJANA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430666,IZMENSKO
STREŽBA, LAŠKO,8.13  ,7.00  ,False,2,PO DOGOVORU,430665,IZMENSKO
STREŽBA HRANE IN PIJAČE, LJUBLJANA,8.88  ,7.64  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),430662,IZMENSKO
DELO V DELAVNICI, LJUBLJANA - VIČ ,8.50  ,7.31  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430660,DOPOLDAN
DELO V PROIZVODNJI, ŠEPULJE,8.13  ,7.00  ,False,10,POČITNIŠKO DELO,430655,IZMENSKO
DELO V SKLADIŠČU, ZGORNJI BRNIK,11.83  ,10.18  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430653,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA,8.72  ,7.50  ,False,2,PO DOGOVORU,430652,PO DOGOVORU
POMOČ V STREŽBI, LJUBLJANA,7.21  ,6.20  ,False,2,PO DOGOVORU,430651,IZMENSKO
DIGITALNI MARKETING, LJUBLJANA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430650,DOPOLDAN
POMOČ V TRGOVINI, KOPER,7.21  ,6.20  ,False,2,POČITNIŠKO DELO,430645,PO DOGOVORU
DELO V PROIZVODNJI, LJUBLJANA,7.21  ,6.20  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430644,IZMENSKO
PRODAJA, LJUBLJANA BTC,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430643,PO DOGOVORU
ČIŠČENJE, VRHNIKA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430641,DOPOLDAN
INVENTURA, KRANJ,7.21  ,6.20  ,False,12,18. 7. 2024,430640,DOPOLDAN
PRODAJA, LJUBLJANA,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430639,DOPOLDAN
PRODAJA, KAMNIK,8.13  ,7.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430636,IZMENSKO
PRODAJA, LJUBLJANA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430635,IZMENSKO
POMOČ PRI PRODAJI, LENART,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430627,PO DOGOVORU
PRAVNE STORITVE, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430622,DOPOLDAN
DELO V TURIZMU, BRNIK,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430621,IZMENSKO
DELO V SKLADIŠČU, VODICE,8.13  ,7.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430619,DOPOLDAN
STREŽBA HRANE IN PIJAČE, LJUBLJANA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430616,DOPOLDAN
DEKLARIRANJE, LJUBLJANA,7.50  ,6.45  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430615,DOPOLDAN
STREŽBA, ILIRSKA BISTRICA,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430613,PO DOGOVORU
DELO V ORDINACIJI, LJUBLJANA VIČ,11.01  ,9.47  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430612,IZMENSKO
DELO NA BENCINSKEM SERVISU, ZGORNJA POLSKAVA,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430605,MED VIKENDI
STREŽBA, LJUBLJANA VIČ,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430604,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA,8.14  ,7.00  ,False,2,PO DOGOVORU,430603,PO DOGOVORU
POMOČ V STREŽBI, LJUTOMER,9.30  ,8.00  ,False,1,POČITNIŠKO DELO,430602,DOPOLDAN
ADMINISTRATIVNA DELA, LJUBLJANA,7.95  ,6.84  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430601,DOPOLDAN
STREŽBA, SLOVENSKA BISTRICA,8.72  ,7.50  ,False,1,PO DOGOVORU,430599,IZMENSKO
POMOČ PRI PRODAJI, NOVA GORICA,7.45  ,6.41  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430596,IZMENSKO
ANKETIRANJE, LJUBLJANA IN OSTALI KRAJI PO SLOVENIJI,/,/,True,2,PO DOGOVORU,430595,PO DOGOVORU
ZDRAVSTVENA NEGA, IZOLA,8.88  ,7.64  ,False,2,PO DOGOVORU,430593,PO DOGOVORU
RAČUNOVODSKA DELA, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430592,DOPOLDAN
SORTIRANJE, KOMENDA,10.00  ,8.61  ,False,4,DLJE ČASA (ZAČ. IN OBČ. DELO),430587,POPOLDAN
DELO V PEKARNI, SELNICA OB DRAVI,7.21  ,6.20  ,False,1,POČITNIŠKO DELO,430585,PO DOGOVORU
RAZVOZ," LJUBLJANA (CENTER, ŠIŠKA, BEŽIGRAD, ŠENTVID, KODELJEVO)",8.28  ,7.12  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430581,IZMENSKO
STREŽBA HRANE IN PIJAČE, LJUBLJANA CENTER,8.28  ,7.12  ,False,2,POČITNIŠKO DELO,430580,PO DOGOVORU
STREŽBA, SLOVENSKA BISTRICA,8.72  ,7.50  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430578,IZMENSKO
STREŽBA, ŽALEC,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430575,IZMENSKO
STREŽBA, CELJE,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430574,IZMENSKO
RAZVOZ, PTUJ,8.00  ,6.88  ,False,4,PO DOGOVORU,430572,DOPOLDAN
POMOČ PRI PRODAJI, LJUBLJANA RUDNIK,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430569,IZMENSKO
ČIŠČENJE, LJUBLJANA,7.21  ,6.20  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430566,POPOLDAN
POMOČ V TRGOVINI, MURSKA SOBOTA,7.21  ,6.20  ,False,2,PO DOGOVORU,430562,PO DOGOVORU
PAKIRANJE, RADOMLJE,7.21  ,6.20  ,False,3,PO DOGOVORU,430559,DOPOLDAN
POMOČ PRI PRODAJI, LJUBLJANA - ČRNUČE,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430557,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA - RUDNIK,7.21  ,6.20  ,False,2,PO DOGOVORU,430555,PO DOGOVORU
BLAGAJNIK, VRHNIKA,10.00  ,8.61  ,False,1,PO DOGOVORU,430554,PO DOGOVORU
DELO V PROIZVODNJI, PREBOLD,7.21  ,6.20  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430553,DOPOLDAN
DELO V PROIZVODNJI, PETROVČE,7.55  ,6.50  ,False,5,DLJE ČASA (ZAČ. IN OBČ. DELO),430552,DOPOLDAN
STREŽBA, ŠENTJUR,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430551,PO DOGOVORU
DELO S STRANKAMI, LJUBLJANA ŠIŠKA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430548,PO DOGOVORU
STREŽBA, KRANJ,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430542,IZMENSKO
DELO V SKLADIŠČU, LJUBLJANA ŠENTVID,8.00  ,6.88  ,False,2,CCA 1 MESEC,430538,DOPOLDAN
UREDNIK SPLETNIH VSEBIN, LJUBLJANA,9.36  ,8.05  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430535,DOPOLDAN
PROGRAMIRANJE, LJUBLJANA,9.10  ,7.83  ,False,2,PO DOGOVORU,430534,PO DOGOVORU
ADMINISTRATIVNA DELA, LJUBLJANA POLJE,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430532,DOPOLDAN
ADMINISTRATIVNA DELA, LJUBLJANA,9.88  ,8.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430530,DOPOLDAN
STREŽBA HRANE IN PIJAČE, RUŠE,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430528,IZMENSKO
BLAGAJNIK, ŠENTJERNEJ,8.00  ,6.88  ,False,1,PO DOGOVORU,430527,DOPOLDAN
POMOČ V TRGOVINI, LJUBLJANA - CENTER,7.21  ,6.20  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430525,POPOLDAN
STREŽBA HRANE IN PIJAČE, BOHINJSKA BELA,11.04  ,9.50  ,False,1,POČITNIŠKO DELO,430519,PO DOGOVORU
POMOČ V KUHINJI, BOHINJSKA BELA,11.04  ,9.50  ,False,1,POČITNIŠKO DELO,430518,PO DOGOVORU
DELO Z OTROKI, LJUBLJANA,/,/,True,5,POČITNIŠKO DELO,430515,DOPOLDAN
NOVINARSKA DELA, MARIBOR,/,/,True,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430504,PO DOGOVORU
POMOČ PRI PRODAJI, METLIKA,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430502,IZMENSKO
POMOČ PRI PRODAJI, RADEČE,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430500,IZMENSKO
DELO V PROIZVODNJI, LJUBLJANA,8.00  ,6.88  ,False,20,POČITNIŠKO DELO,430498,PO DOGOVORU
RAZVOZ, LJUBLJANA,7.21  ,6.20  ,False,4,PO DOGOVORU,430495,PO DOGOVORU
RAČUNOVODSKA DELA, ŠKOFJA LOKA,7.80  ,6.71  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430493,DOPOLDAN
POUČEVANJE, LJUBLJANA,12.40  ,10.67  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430492,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA,10.46  ,9.00  ,False,5,POČITNIŠKO DELO,430490,PO DOGOVORU
STREŽBA HRANE IN PIJAČE, LJUBLJANA,9.30  ,8.00  ,False,5,POČITNIŠKO DELO,430489,PO DOGOVORU
ADMINISTRATIVNA DELA, KOPER,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430483,POPOLDAN
ADMINISTRATIVNA DELA, VEVČE,8.50  ,7.31  ,False,2,PO DOGOVORU,430475,DOPOLDAN
DELO V PROIZVODNJI, RADEČE,7.21  ,6.20  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430474,DOPOLDAN
STREŽBA, LJUBLJANA,10.46  ,9.00  ,False,3,PO DOGOVORU,430469,PO DOGOVORU
STREŽBA, LJUBLJANA,8.72  ,7.50  ,False,1,JULIJ,430468,POPOLDAN
STREŽBA, LJUBLJANA POLJE,8.13  ,7.00  ,False,2,PO DOGOVORU,430463,IZMENSKO
STREŽBA HRANE IN PIJAČE, LUKOVICA,9.23  ,7.94  ,False,2,POČITNIŠKO DELO,430459,IZMENSKO
STREŽBA, LJUBLJANA ,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430458,PO DOGOVORU
KOZMETIČNE STORITVE, LJUBLJANA CENTER,11.62  ,10.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430456,IZMENSKO
POMOČ V STREŽBI, PORTOROŽ,9.30  ,8.00  ,False,1,PO DOGOVORU,430455,IZMENSKO
POMOČ V KUHINJI, PORTOROŽ,9.30  ,8.00  ,False,1,PO DOGOVORU,430454,IZMENSKO
ELEKTROTEHNIČNA DELA, LJUBLJANA,9.88  ,8.50  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430453,DOPOLDAN
STREŽBA HRANE IN PIJAČE, CERKLJE,/,/,True,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430450,DOPOLDAN
POMOČ V STREŽBI, MARIBOR,9.30  ,8.00  ,False,1,PO DOGOVORU,430448,IZMENSKO
KOZMETIČNE STORITVE, LJUBLJANA,10.46  ,9.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430446,IZMENSKO
STREŽBA, SEŽANA,9.30  ,8.00  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430443,PO DOGOVORU
POMOČ V STREŽBI, LJUBNO OB SAVINJI,9.30  ,8.00  ,False,3,DLJE ČASA (ZAČ. IN OBČ. DELO),430442,PO DOGOVORU
POMOČ V STREŽBI, KOBARID,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430441,POPOLDAN
STREŽBA, CELJE,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),430438,PO DOGOVORU
POMOČ PRI PRODAJI, KRANJSKA GORA,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),430433,IZMENSKO
STREŽBA, ČRNOMELJ,9.30  ,8.00  ,False,1,PO DOGOVORU,430428,PO DOGOVORU
